1,10,100,,,,31,76,13,36,81,18,29,74,11,,,
2,20,200,,,,22,40,58,27,45,63,20,38,56,,,
3,30,300,,,,67,4,49,72,9,54,65,2,47,,,
4,40,400,,,,30,75,12,32,77,14,34,79,16,,,
5,50,500,,,,21,39,57,23,41,59,25,43,61,,,
6,60,600,,,,66,3,48,68,5,50,70,7,52,,,
7,70,700,,,,35,80,17,28,73,10,33,78,15,,,
8,80,800,,,,26,44,62,19,37,55,24,42,60,,,
9,90,900,,,,71,8,53,64,1,46,69,6,51,,,
10,100,1000,,,,,,,,,,,,,,,
11,110,1100,,,,,,,,,,,,,,,
,120,1200,,,,,,,,,,,,,,,
13,,1300,,,,,,,,,,,,,,,
14,140,1400,,,,,,,,,,,,,,,
15,150,1500,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
